Min,Max,Mean,Median,Std,Label
604.0,1332.0,1097.2162162162165,1136.0,137.30664737262362,0
524.0,2284.0,1533.0,1590.0,643.3715878090981,0
308.0,3276.0,773.807921866522,752.0,83.90744456587925,0
544.0,544.0,544.0,544.0,0.0,0
452.0,1452.0,1129.6153846153843,1228.0,245.7844704556408,0
868.0,1020.0,912.5405405405404,910.0,22.78287004034793,0
312.0,1304.0,681.5045669940251,704.0,94.41040749127409,0
396.0,992.0,690.8421052631579,676.0,95.3526767531406,0
476.0,476.0,476.0,476.0,0.0,0
324.0,13616.0,2062.775510204081,1156.0,2076.5193070611044,1
496.0,496.0,496.0,496.0,0.0,0
384.0,1676.0,610.5507246376811,576.0,177.15035260199494,0
380.0,1468.0,886.6347305389221,908.0,133.6577253147181,0
672.0,2220.0,1052.909090909091,976.0,207.06619694521692,0
616.0,812.0,638.7826086956521,624.0,40.31933026718955,0
452.0,1452.0,1129.6153846153843,1228.0,245.7844704556408,0
592.0,1640.0,1123.6923076923076,1380.0,389.7911441973439,1
376.0,1648.0,918.3309352517986,856.0,274.0476876132613,0
396.0,2676.0,1106.3820224719102,1268.0,465.2137241258159,0
452.0,10700.0,569.3411764705883,564.0,235.06558002847612,0
576.0,576.0,576.0,576.0,0.0,0
312.0,1820.0,739.7333333333333,668.0,403.0774064067044,1
376.0,2184.0,639.8241758241758,548.0,306.9973187199586,0
1036.0,1148.0,1117.0,1126.0,31.24633311819698,0
4696.0,4696.0,4696.0,4696.0,0.0,1
340.0,888.0,568.5384615384615,546.0,121.5237332848168,0
580.0,628.0,601.5555555555555,604.0,10.078702640398724,0
512.0,600.0,556.0,556.0,44.0,1
608.0,23016.0,9450.545454545454,5172.0,8074.331093754469,1
560.0,1672.0,786.4,568.0,442.8099366545425,0
568.0,568.0,568.0,568.0,0.0,0
312.0,2240.0,1041.9673469387756,1068.0,149.60798955027815,0
512.0,1824.0,1168.0,1168.0,656.0,1
360.0,2448.0,956.2577840932836,976.0,113.50383211974992,0
308.0,12188.0,1612.2614379084966,1128.0,1555.0722017209532,1
472.0,472.0,472.0,472.0,0.0,0
556.0,984.0,838.0444444444445,840.0,85.48163039976758,0
